MSG ID,Message Name,Length,Byte,Bit Start,Data Name,Description,Data Type,Min,Max,Scaled Min,Scaled Max,Map Equation,Units,For Indexing Purposes
,,,34,272,Cell 49 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,35,280,Cell 49 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,36,288,Cell 50 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,37,296,Cell 50 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,38,304,Cell 51 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,39,312,Cell 51 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,40,320,Cell 52 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,41,328,Cell 52 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,42,336,Cell 53 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,43,344,Cell 53 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,44,352,Cell 54 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,45,360,Cell 54 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,46,368,Cell 55 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,47,376,Cell 55 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,48,384,Cell 56 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,49,392,Cell 56 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,50,400,Cell 57 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,51,408,Cell 57 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,52,416,Cell 58 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,53,424,Cell 58 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,54,432,Cell 59 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,55,440,Cell 59 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,56,448,Cell 60 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,57,456,Cell 60 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,58,464,Cell 61 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,59,472,Cell 61 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,60,480,Cell 62 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,61,488,Cell 62 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,62,496,Cell 63 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,63,504,Cell 63 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
0x00F,ACU Cell Data 3,64,,,,,,,,,,,,15
,,,0,0,Cell 64 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,1,8,Cell 64 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,2,16,Cell 65 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,3,24,Cell 65 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,4,32,Cell 66 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,5,40,Cell 66 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,6,48,Cell 67 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,7,56,Cell 67 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,8,64,Cell 68 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,9,72,Cell 68 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,10,80,Cell 69 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,11,88,Cell 69 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,12,96,Cell 70 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,13,104,Cell 70 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,14,112,Cell 71 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,15,120,Cell 71 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,16,128,Cell 72 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,17,136,Cell 72 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,18,144,Cell 73 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,19,152,Cell 73 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
